Title,Year,Interval,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Fantasy,History,Holiday,Horror,Kids,Lgbtq+,Mystery,Romance,Sci-fi,War,family,thriller
Spider-Man: Across the Spider-Verse,2023,8400,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
The Angry Black Girl and Her Monster,2023,5520,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Scare Package II: Rad Chad's Revenge,2022,5880,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Based on a True Story,2005,4500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast X,2023,8460,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamin' Hot,2023,7740,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BlackBerry,2023,7140,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avatar: The Way of Water,2022,11520,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spider-Man: Into the Spider-Verse,2018,7020,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Reality,2015,4800,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Super Mario Bros. Movie,2023,5520,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Guy Ritchie's The Covenant,2023,7380,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Bumblebee,2018,6840,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Fault,2023,7020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Nefarious,2019,4740,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Leave No Trace,2018,6480,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John Wick: Chapter 4,2023,10140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extraction 2,2023,7380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
What Is a Woman?,2022,5640,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Creed III,2023,6960,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Renfield,2023,5580,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Air,2005,5460,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ant-Man and The Wasp: Quantumania,2023,7440,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missing,2006,8400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Living,2012,7140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn 45,2023,5520,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Influencer,2023,5520,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Beau Is Afraid,2023,10740,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Evil Dead Rise,2023,5820,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Sisu,2022,5460,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hypnotic,2021,5340,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
A Man Called Otto,2022,7560,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Beautiful Life,2011,7320,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,2023,5580,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
